M49code_continent,Continet,M49code_Subregions,Subregions,Country,Alpha-3 code,M49Code_country
142,Asia,34,Southern Asia,Afghanistan,AFG,4
142,Asia,34,Southern Asia,Bangladesh,BGD,50
142,Asia,34,Southern Asia,Bhutan,BTN,64
142,Asia,34,Southern Asia,India,IND,356
142,Asia,34,Southern Asia,Iran (Islamic Republic of),IRN,364
142,Asia,34,Southern Asia,Maldives,MDV,462
142,Asia,34,Southern Asia,Nepal,NPL,524
142,Asia,34,Southern Asia,Pakistan,PAK,586
142,Asia,34,Southern Asia,Sri Lanka,LKA,144
150,Europe,154,Northern Europe,Aland Islands,ALA,248
150,Europe,154,Northern Europe,Denmark,DNK,208
150,Europe,154,Northern Europe,Estonia,EST,233
150,Europe,154,Northern Europe,Faroe Islands,FRO,234
150,Europe,154,Northern Europe,Finland,FIN,246
150,Europe,154,Northern Europe,Guernsey,GGY,831
150,Europe,154,Northern Europe,Iceland,ISL,352
150,Europe,154,Northern Europe,Ireland,IRL,372
150,Europe,154,Northern Europe,Isle of Man,IMN,833
150,Europe,154,Northern Europe,Jersey,JEY,832
150,Europe,154,Northern Europe,Latvia,LVA,428
150,Europe,154,Northern Europe,Lithuania,LTU,440
150,Europe,154,Northern Europe,Norway,NOR,578
150,Europe,154,Northern Europe,Sark,,680
150,Europe,154,Northern Europe,Svalbard and Jan Mayen Islands,SJM,744
150,Europe,154,Northern Europe,Sweden,SWE,752
150,Europe,154,Northern Europe,United Kingdom of Great Britain and Northern Ireland,GBR,826
150,Europe,39,Southern Europe,Albania,ALB,8
150,Europe,39,Southern Europe,Andorra,AND,20
150,Europe,39,Southern Europe,Bosnia and Herzegovina,BIH,70
150,Europe,39,Southern Europe,Croatia,HRV,191
150,Europe,39,Southern Europe,Gibraltar,GIB,292
150,Europe,39,Southern Europe,Greece,GRC,300
150,Europe,39,Southern Europe,Holy See,VAT,336
150,Europe,39,Southern Europe,Italy,ITA,380
150,Europe,39,Southern Europe,Malta,MLT,470
150,Europe,39,Southern Europe,Montenegro,MNE,499
